family,n,seed,kind,poly,k,degree,op_norm,max_on_W,ratio,num_radius,mat_norm,dfn,method,extra
nilpotent_shift,2,det,scalar,z,1,1,1.0,0.5000000000000003,1.9999999999999987,0.5000000000000003,1.0,1.4142135623730951,johnson,exact_target=2
nilpotent_shift,3,det,scalar,z,1,1,1.0,0.7071067811865479,1.4142135623730943,0.7071067811865479,1.0,1.4142135623730951,johnson,theory_w=0.7071067812
nilpotent_shift,2,det,scalar,z,1,1,1.0,0.5000000000000003,1.9999999999999987,0.5000000000000003,1.0,1.4142135623730951,johnson,theory_w=0.5000000000
nilpotent_shift,2,det,scalar,z^1,1,1,1.0,0.5000000000000003,1.9999999999999987,0.5000000000000003,1.0,1.4142135623730951,johnson,theory_w=0.5000000000
nilpotent_shift,3,det,scalar,z,1,1,1.0,0.7071067811865479,1.4142135623730943,0.7071067811865479,1.0,1.4142135623730951,johnson,theory_w=0.7071067812
nilpotent_shift,3,det,scalar,z^2,1,2,1.0,0.5000000000000006,1.9999999999999978,0.7071067811865479,1.0,1.4142135623730951,johnson,theory_w=0.7071067812
nilpotent_shift,4,det,scalar,z,1,1,1.0,0.8090169943749479,1.236067977499789,0.8090169943749479,1.0,1.4142135623730951,johnson,theory_w=0.8090169944
nilpotent_shift,4,det,scalar,z^3,1,3,1.0,0.5295084971874745,1.8885438199983147,0.8090169943749479,1.0,1.4142135623730951,johnson,theory_w=0.8090169944
nilpotent_shift,5,det,scalar,z,1,1,1.0,0.8660254037844392,1.1547005383792508,0.8660254037844392,1.0,1.4142135623730951,johnson,theory_w=0.8660254038
nilpotent_shift,5,det,scalar,z^4,1,4,1.0,0.5625000000000011,1.7777777777777743,0.8660254037844392,1.0,1.4142135623730951,johnson,theory_w=0.8660254038
nilpotent_shift,6,det,scalar,z,1,1,1.0,0.9009688679024196,1.1099162641747418,0.9009688679024196,1.0,1.4142135623730951,johnson,theory_w=0.9009688679
nilpotent_shift,6,det,scalar,z^5,1,5,1.0,0.593675221684191,1.6844226665938837,0.9009688679024196,1.0,1.4142135623730951,johnson,theory_w=0.9009688679
nilpotent_shift,7,det,scalar,z,1,1,1.0,0.9238795325112873,1.0823922002923934,0.9238795325112873,1.0,1.4142135623730951,johnson,theory_w=0.9238795325
nilpotent_shift,7,det,scalar,z^6,1,6,1.0,0.6218592167691165,1.6080810142133495,0.9238795325112873,1.0,1.4142135623730951,johnson,theory_w=0.9238795325
nilpotent_shift,8,det,scalar,z,1,1,1.0,0.9396926207859089,1.0641777724759116,0.9396926207859089,1.0,1.4142135623730951,johnson,theory_w=0.9396926208
nilpotent_shift,8,det,scalar,z^7,1,7,1.0,0.6469946881362414,1.5456077435204911,0.9396926207859089,1.0,1.4142135623730951,johnson,theory_w=0.9396926208
nilpotent_shift,9,det,scalar,z,1,1,1.0,0.9510565162951541,1.0514622242382667,0.9510565162951541,1.0,1.4142135623730951,johnson,theory_w=0.9510565163
nilpotent_shift,9,det,scalar,z^8,1,8,1.0,0.6693458951415736,1.493995865603224,0.9510565162951541,1.0,1.4142135623730951,johnson,theory_w=0.9510565163
nilpotent_shift,10,det,scalar,z,1,1,1.0,0.9594929736144979,1.042217116226405,0.9594929736144979,1.0,1.4142135623730951,johnson,theory_w=0.9594929736
nilpotent_shift,10,det,scalar,z^9,1,9,1.0,0.6892490697453968,1.4508543339338742,0.9594929736144979,1.0,1.4142135623730951,johnson,theory_w=0.9594929736
nilpotent_shift,11,det,scalar,z,1,1,1.0,0.9659258262890689,1.0352761804100825,0.9659258262890689,1.0,1.4142135623730951,johnson,theory_w=0.9659258263
nilpotent_shift,11,det,scalar,z^10,1,10,1.0,0.707029901154199,1.4143673391571399,0.9659258262890689,1.0,1.4142135623730951,johnson,theory_w=0.9659258263
nilpotent_shift,12,det,scalar,z,1,1,1.0,0.9709418174260527,1.0299278309497266,0.9709418174260527,1.0,1.4142135623730951,johnson,theory_w=0.9709418174
nilpotent_shift,12,det,scalar,z^11,1,11,1.0,0.7229783078667816,1.3831673635556203,0.9709418174260527,1.0,1.4142135623730951,johnson,theory_w=0.9709418174
random_triangular,2,2,scalar,z^1,1,1,3.0665316067612354,2.5775230175865276,1.1897203578156956,2.5787119591249645,3.0665316067612354,9.339060433347257,mc_legacy,original_harness_reproduction
random_triangular,2,2,scalar,z^1,1,1,3.0665316067612354,2.5787119591249645,1.1891718250695216,2.5787119591249645,3.0665316067612354,9.339060433347257,johnson,johnson_correction_of_legacy
random_triangular,3,3,scalar,z^2,1,2,21.09173749691962,20.53063999490029,1.0273297618661037,4.640652438510777,4.973436142930604,18.66140855986333,mc_legacy,original_harness_reproduction
random_triangular,3,3,scalar,z^2,1,2,21.09173749691962,21.535655055056026,0.97938685603008,4.640652438510777,4.973436142930604,18.66140855986333,johnson,johnson_correction_of_legacy
random_triangular,4,4,scalar,z^3,1,3,79.72366062845853,61.053601902337945,1.3057978259167318,4.347272422132493,4.780639237267338,20.942729625153262,mc_legacy,original_harness_reproduction
random_triangular,4,4,scalar,z^3,1,3,79.72366062845853,82.15813429095134,0.9703684402828396,4.347272422132493,4.780639237267338,20.942729625153262,johnson,johnson_correction_of_legacy
random_triangular,8,8,scalar,z^7,1,7,151690.05427794566,23281.533348894263,6.515466657832915,6.155505786304774,7.328479873401633,68.0499031409793,mc_legacy,original_harness_reproduction
random_triangular,8,8,scalar,z^7,1,7,151690.05427794566,334846.84189409623,0.4530132445624841,6.155505786304774,7.328479873401633,68.0499031409793,johnson,johnson_correction_of_legacy
weighted_shift,4,det,scalar,z,1,1,1.0,0.5643334893882308,1.7720018726587645,0.5643334893882308,1.0,1.2625909085959457,johnson,
weighted_shift,4,det,scalar,z^3,1,3,0.16666666666666666,0.1797245771344762,0.9273448813957194,0.5643334893882308,1.0,1.2625909085959457,johnson,
weighted_shift,8,det,scalar,z,1,1,1.0,0.5646375328137694,1.7710476932283978,0.5646375328137694,1.0,1.2590788699053852,johnson,
weighted_shift,8,det,scalar,z^7,1,7,0.00019841269841269839,0.01829735033873768,0.010843794032441678,0.5646375328137694,1.0,1.2590788699053852,johnson,
weighted_shift,12,det,scalar,z,1,1,1.0,0.5646375328628486,1.7710476930744554,0.5646375328628486,1.0,1.258957328806749,johnson,
weighted_shift,12,det,scalar,z^11,1,11,2.5052108385441714e-08,0.0018598040001087607,1.3470294925689307e-05,0.5646375328628486,1.0,1.258957328806749,johnson,
grcar,4,det,scalar,z,1,1,2.732050807568877,2.315655948151091,1.179817239149992,2.315655948151091,2.732050807568877,5.477225575051661,johnson,
grcar,4,det,scalar,1-z+0.5z^2,1,2,1.2621688994810694,1.288595361052098,0.9794920404265214,2.315655948151091,2.732050807568877,5.477225575051661,johnson,
grcar,8,det,scalar,z,1,1,3.2813810490256037,3.0942892845241046,1.060463566039939,3.0942892845241046,3.2813810490256037,6.48074069840786,johnson,
grcar,8,det,scalar,1-z+0.5z^2,1,2,3.62577799445119,3.0502310835009196,1.1886896091458368,3.0942892845241046,3.2813810490256037,6.48074069840786,johnson,
grcar,16,det,scalar,z,1,1,3.5230702928006568,3.4743547391585414,1.0140214679557775,3.4743547391585414,3.5230702928006568,6.48074069840786,johnson,
grcar,16,det,scalar,1-z+0.5z^2,1,2,4.354070545583442,4.133983246932478,1.0532385560135673,3.4743547391585414,3.5230702928006568,6.48074069840786,johnson,
random_triangular,2,2,scalar,z,1,1,3.0665316067612354,2.5787119591249645,1.1891718250695216,2.5787119591249645,3.0665316067612354,9.339060433347257,johnson,
random_triangular,2,2,scalar,z^1,1,1,3.0665316067612354,2.5787119591249645,1.1891718250695216,2.5787119591249645,3.0665316067612354,9.339060433347257,johnson,
random_triangular,2,2,scalar,0.4-1.1z+0.7z^2,1,2,5.076056028603674,5.403642320597138,0.9393767624580187,2.5787119591249645,3.0665316067612354,9.339060433347257,johnson,
random_triangular,2,3,scalar,z,1,1,3.6747750763412856,3.4868148115427005,1.0539060073326418,3.4868148115427005,3.6747750763412856,6.08130486454679,johnson,
random_triangular,2,3,scalar,z^1,1,1,3.6747750763412856,3.4868148115427005,1.0539060073326418,3.4868148115427005,3.6747750763412856,6.08130486454679,johnson,
random_triangular,2,3,scalar,0.4-1.1z+0.7z^2,1,2,13.264374592205842,12.746010563692462,1.0406687273577162,3.4868148115427005,3.6747750763412856,6.08130486454679,johnson,
random_triangular,2,4,scalar,z,1,1,2.55141128322178,2.5236262485932173,1.0110099641910333,2.5236262485932173,2.55141128322178,2.0470331583648513,johnson,
